화학물질_한글명,울산_출현건수,CHEM_SBSTN_ENG_NM,CAS_NO,UN_MNG_NO,RDTMP_STTS_NM,SBSTN_COLR_NM,SMELL_SPCQLT_NM,유별_위험물분류
에틸렌디아민,6,Ethylenediamine,107-15-3,1604.0,액체,무채색에서 노란색,암모니아 냄새,
펜타에리트리톨 트리알릴 에테르,6,PENTAERYTHRITOL TRIALLYL ETH,1471-17-6,,,,,
대두 기름,6,Soybean oil,8001-22-7,,액체(반건성유),담황색,매우 약한 냄새,
PFAD,6,,68990-37-4,,,,,
Aromatic Hydrocarbons(SOIL),6,,,,,,,
아세트산 에틸,6,Ethyl acetate,141-78-6,1173.0,액체,무색,파인애플 향| 변화하는 냄새,
아질산 염[아질산 염류],6,Nitrous acid| salts[Nitrous acid| salts],7782-77-6,3219.0,액체,,,
아크릴로나이트릴,6,Acrylonitrile,107-13-1,1093.0,액체,무색투명 또는 미황색,달콤한 자극성 악취,
마그네슘,6,Magnesium,7439-95-4,1869.0,고체(결정| 금속),회색| 흰색,무취,
노르말 헵탄,6,Normal Heptane,142-82-5,1206.0,액체,무색,가솔린 냄새,
프로판,6,Propane,74-98-6,,기체(운송시엔 액화압축가스로 운송),무색,순수할 땐 무취지만 연료로 사용시 악취가 남,
폴리우레탄,6,Polyurethane,9009-54-5,,고체,,,
Biodiesel,6,,67784-80-9,,,,,
아세트산 비닐,5,Vinyl acetate,108-05-4,1301.0,액체(유동액),무색,달콤한 냄새| 과일향|초기엔 기분 좋은 냄새지만 점차 자극적인 냄새,
암모니아수,5,Ammonium hydroxide,1336-21-6,,액체,무색,"심하게 톡 쏘는 냄새


***취기한계


34 ppm",
옥시란| 메틸-| 중합물 |함유 옥시란| 에테르 |함유 1|2|3-프로판트리올,5,OXIRANE|METHYL|POLYMER  WITH OXIRANE|ETHER WITH 1|2|3-PROPANETRIOL,9082-00-2,,,,,
노말파라핀,5,Normal Paraffins,64771-72-8,,,,,
T-LSR,5,t-lsr,,,,,,
액화천연가스,5,LNG,68410-63-9,1972.0,기체,무색,불쾌한 냄새,
이산화황,5,Sulfur dioxide,7446-09-05,1079.0,기체,무색,자극적인 냄새,
삼산화유황,5,Sulfur trioxide,7446-11-09,1829.0,액체,무색,,
파라-자일렌 [자일렌],5,p-Xylene [Xylene],106-42-3,1307.0,액체,무색,달콤한 향,
VAE-CO-POLYMER,5,VAE-CO-POLYMER,,,,,,
